ID_,N_PATIO,N_REGISTRO,NOM_COMUN,NOM_CIENTIFICO,ESPECIE,OPERADOR,Latitudes,Longitudes,PROPIEDAD,Status,DAP_CM,ALTURA_M,RADIO_M,TIPO_PODA,TRATAMIENTO,OBSERVACIONES
,1,178,PALMERA CANARIA,,INTRODUCIDA,ARIEL,-33.41716600,-70.652137,CEMENTERIO,BUENO,,,,,,
,1,179,CIPRES MEDITERRANEO,,INTRODUCIDA,ARIEL,-33.41710000,-70.652219,CEMENTERIO,MALO,,,,,,
,1,180,CASUARINA,,INTRODUCIDA,ARIEL,-33.41706800,-70.652233,CEMENTERIO,BUENO,,,,,,
,1,181,AISLANTUS,,INTRODUCIDA,ARIEL,-33.41698800,-70.652207,CEMENTERIO,BUENO,,,,,,
,1,182,FALSA ACACIA,,INTRODUCIDA,ARIEL,-33.41698400,-70.652162,CEMENTERIO,MALO,,,,,,
,1,183,PALMERA CANARIA,,INTRODUCIDA,ARIEL,-33.41694300,-70.652113,CEMENTERIO,BUENO,,,,,,
,1,184,CIPRES MEDITERRANEO,,INTRODUCIDA,ARIEL,-33.41703900,-70.651995,CEMENTERIO,BUENO,,,,,,
,1,185,CASUARINA,,INTRODUCIDA,ARIEL,-33.41708600,-70.652061,CEMENTERIO,BUENO,,,,,,
,1,186,CIPRES MEDITERRANEO,,INTRODUCIDA,ARIEL,-33.41709100,-70.652067,CEMENTERIO,BUENO,,,,,,
,1,187,CASUARINA,,INTRODUCIDA,ARIEL,-33.41708600,-70.652070,CEMENTERIO,BUENO,,,,,,
,1,188,FALSA ACACIA,,INTRODUCIDA,ARIEL,-33.41706800,-70.652089,SEPULTURA,REGULAR,,,,,,
,1,189,CEDRO,,INTRODUCIDA,ARIEL,-33.41707300,-70.652116,CEMENTERIO,BUENO,,,,,,
,1,190,PALMERA CANARIA,,INTRODUCIDA,ARIEL,-33.41705000,-70.652176,CEMENTERIO,BUENO,,,,,,
,1,191,CELTIS,,INTRODUCIDA,ARIEL,-33.41704400,-70.652199,CEMENTERIO,BUENO,,,,,,
,1,192,PALO VERDE,,INTRODUCIDA,ARIEL,-33.41703400,-70.652186,CEMENTERIO,BUENO,,,,,,
,1,193,CIPRES MEDITERRANEO,,INTRODUCIDA,ARIEL,-33.41701500,-70.652190,CEMENTERIO,BUENO,,,,,,
